,Accuracy,Precision,Recall,F1 Score,ROC AUC
SVM,0.6707317073170732,0.7040816326530612,0.26953125,0.3898305084745763,0.648671875
Random_Forest,0.6646341463414634,0.7432432432432432,0.21484375,0.3333333333333333,0.6711328125
Gradient_Boosting,0.6524390243902439,0.6428571428571429,0.24609375,0.3559322033898305,0.6281298828124999
Decision_Tree,0.6417682926829268,0.5945945945945946,0.2578125,0.35967302452316074,0.608330078125
XGBoost,0.6417682926829268,0.5573770491803278,0.3984375,0.4646924829157175,0.6256445312500001
Neural_Network,0.6265243902439024,0.5230125523012552,0.48828125,0.5050505050505051,0.6377734374999999
Logistic_Regression,0.6097560975609756,0.0,0.0,0.0,0.548466796875
KNN,0.5853658536585366,0.44871794871794873,0.2734375,0.33980582524271846,0.5991650390625
